timestamp,percent_coverage,total_delay,count_pending
2018-11-26 14:36:44.475010,0.7575757575757576,0 days 00:00:00.000000000,0
2018-11-26 14:37:24.886109,0.5252525252525253,0 days 00:00:00.000000000,0
2018-11-26 14:45:15.886109,0.5252525252525253,0 days 00:00:00.000000000,0
2018-11-26 14:46:34.933668,0.494949494949495,0 days 00:00:00.000000000,0
2018-11-26 14:50:21.954220,0.3939393939393939,0 days 00:00:00.000000000,0
2018-11-26 14:50:57.475010,0.3939393939393939,0 days 00:00:00.000000000,0
2018-11-26 14:58:03.741128,0.21212121212121213,0 days 00:00:00.000000000,0
2018-11-26 15:02:22.174745,0.1414141414141414,0 days 00:00:00.000000000,0
2018-11-26 15:03:00.886109,0.1414141414141414,0 days 00:00:00.000000000,0
2018-11-26 14:55:27.933668,0.1414141414141414,0 days 00:00:00.000000000,0
2018-11-26 15:03:02.954220,0.1414141414141414,0 days 00:00:00.000000000,0
2018-11-26 15:09:24.380138,0.0707070707070707,0 days 00:00:00.000000000,0
2018-11-26 15:12:07.464936,0.0,0 days 00:00:00.000000000,0
2018-11-26 15:12:31.755509,0.0,0 days 00:00:00.000000000,1
2018-11-26 15:15:57.475010,0.0,0 days 00:03:25.719501000,1
2018-11-26 15:05:36.741128,0.0,-1 days +23:53:04.985619000,1
2018-11-26 15:09:04.741128,0.0,-1 days +23:56:32.985619000,1
2018-11-26 15:22:43.174745,0.0,0 days 00:10:11.419236000,1
2018-11-26 15:42:23.933668,0.0,0 days 00:29:52.178159000,1
2018-11-26 15:30:32.886109,0.0,0 days 00:18:01.130600000,1
2018-11-26 15:24:11.380138,0.0,0 days 00:11:39.624629000,1
2018-11-26 15:30:43.464936,0.0,0 days 00:18:11.709427000,1
2018-11-26 15:43:29.266622,0.0,0 days 00:30:57.511113000,2
2018-11-26 15:46:11.485608,0.0,0 days 00:36:21.949085000,3
2018-11-26 15:50:00.441275,0.0,0 days 00:47:48.816086000,4
2018-11-26 15:53:44.742155,0.0,0 days 01:02:46.019606000,5
2018-11-26 16:02:50.667364,0.0,0 days 01:48:15.645651000,6
2018-11-26 16:04:46.475010,0.0,0 days 01:59:50.491527000,6
2018-11-26 15:33:28.954220,0.0,-1 days +22:52:05.366787000,6
2018-11-26 15:31:25.741128,0.0,-1 days +22:39:46.088235000,6
2018-11-26 15:45:41.954220,0.0,0 days 00:05:23.366787000,6
2018-11-26 16:07:49.000844,0.0,0 days 02:18:05.646531000,7
2018-11-26 16:12:34.784006,0.0,0 days 02:51:26.128665000,8
2018-11-26 16:19:30.584591,0.0,0 days 03:46:52.533345000,9
2018-11-26 16:27:32.475010,0.2727272727272727,0 days 04:59:09.547116000,9
2018-11-26 16:27:32.475010,0.0,0 days 03:44:08.827615000,8
2018-11-26 15:51:07.174745,0.0,-1 days +22:52:46.425495000,8
2018-11-26 15:41:56.380138,0.0,-1 days +21:39:20.068639000,8
2018-11-26 15:58:27.380138,0.0,-1 days +23:51:28.068639000,8
2018-11-26 16:03:26.954220,0.10101010101010101,0 days 00:31:24.661295000,8
2018-11-26 16:03:26.954220,0.0,0 days 00:11:26.973697000,7
2018-11-26 16:04:01.886109,0.2828282828282828,0 days 00:15:31.496920000,7
2018-11-26 16:04:01.886109,0.0,-1 days +23:57:41.096419000,6
2018-11-26 16:09:13.954220,0.0,0 days 00:28:53.505085000,6
2018-11-26 16:04:12.464936,0.0,-1 days +23:58:44.569381000,6
2018-11-26 16:36:11.933668,0.0,0 days 03:10:41.381773000,6
2018-11-26 16:04:32.174745,0.0,0 days 00:00:42.828235000,6
2018-11-26 16:04:31.741128,0.18181818181818182,0 days 00:00:40.226533000,6
2018-11-26 16:04:31.741128,0.0,-1 days +23:46:08.926680000,5
2018-11-26 16:18:30.741128,0.0,0 days 00:56:03.926680000,5
2018-11-26 16:20:29.380138,0.10101010101010101,0 days 01:05:57.121730000,5
2018-11-26 16:20:29.380138,0.0,0 days 00:39:12.483747000,4
2018-11-26 16:22:38.886109,0.0,0 days 00:47:50.507631000,4
2018-11-26 16:33:38.380138,0.0,0 days 01:31:48.483747000,4
2018-11-26 16:36:46.464936,0.0,0 days 01:44:20.822939000,4
2018-11-26 16:39:57.359889,0.0,0 days 01:57:04.402751000,5
2018-11-26 16:40:14.475010,0.0,0 days 01:58:29.978356000,5
2018-11-26 16:45:29.953997,0.0,0 days 02:24:47.373291000,6
2018-11-26 16:46:30.800979,0.0,0 days 02:30:52.455183000,7
2018-11-26 16:48:24.174745,0.0707070707070707,0 days 02:44:06.071545000,7
2018-11-26 16:48:24.174745,0.0,0 days 01:58:32.564164000,6
2018-11-26 16:47:24.954220,0.0,0 days 01:52:37.241014000,6
2018-11-26 16:40:49.741128,0.0,0 days 01:13:05.962462000,6
2018-11-26 16:54:51.741128,0.0,0 days 02:37:17.962462000,6
2018-11-26 16:58:57.933668,0.12121212121212122,0 days 03:01:55.117702000,6
2018-11-26 16:58:57.933668,0.0,0 days 02:10:46.184878000,5
2018-11-26 17:01:17.218821,0.0,0 days 02:22:22.610643000,6
2018-11-26 17:06:12.380138,0.0,0 days 02:51:53.578545000,6
2018-11-26 16:56:07.886109,0.0,0 days 01:51:26.614371000,6
2018-11-26 17:11:15.475010,0.0,0 days 03:22:12.147777000,6
2018-11-26 17:08:45.174745,0.0,0 days 03:07:10.346187000,6
2018-11-26 17:12:24.954220,0.0,0 days 03:29:09.023037000,6
2018-11-26 17:09:20.464936,0.0707070707070707,0 days 03:10:42.087333000,6
2018-11-26 17:09:20.464936,0.0,0 days 02:13:56.406403000,5
2018-11-26 17:13:03.823620,0.0,0 days 02:32:33.199823000,6
2018-11-26 17:14:10.066468,0.0,0 days 02:39:10.656911000,7
2018-11-26 17:14:14.843858,0.0,0 days 02:39:44.098641000,8
2018-11-26 17:33:02.741128,0.18181818181818182,0 days 05:10:07.276801000,8
